category,institute_id,name,city,state,score,rank
Overall,IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,56.21,44
Overall,IR-O-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,56.16,45
Overall,IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,55.99,46
Overall,IR-O-U-0570,Calcutta University,Kolkata,West Bengal,55.91,47
Overall,IR-O-U-0458,Kalasalingam Academy of Research and Education,Krishnan Koil,Tamil Nadu,55.68,48
Overall,IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,55.49,49
Overall,IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,55.38,50
Overall,IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,55.32,51
Overall,IR-O-U-0052,Gauhati University,Guwahati,Assam,55.27,52
Overall,IR-O-U-0027,Osmania University,Hyderabad,Telangana,55.24,53
Overall,IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,55.21,54
Overall,IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.9,55
Overall,IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,54.76,56
Overall,IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,54.65,57
Overall,IR-O-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,54.52,58
Overall,IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,54.31,59
Overall,IR-O-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",Bengaluru,Karnataka,54.28,60
Overall,IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,53.82,61
Overall,IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,53.74,62
Overall,IR-O-U-0025,National Institute of Technology Warangal,Warangal,Telangana,53.23,63
Overall,IR-O-U-0564,UPES,Dehradun,Uttarakhand,53.22,64
Overall,IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.22,64
Overall,IR-O-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,53.17,66
Overall,IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,53.04,67
Overall,IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,52.89,68
Overall,IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,52.71,69
Overall,IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,52.68,70
Overall,IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,52.67,71
Overall,IR-O-U-0555,Graphic Era University,Dehradun,Uttarakhand,52.44,72
Overall,IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,52.27,73
Overall,IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,52.2,74
Overall,IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,51.99,75
Overall,IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,51.96,76
Overall,IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,51.88,77
Overall,IR-O-U-0691,All India Institute of Medical Sciences Rishikesh,Rishikesh,Uttarakhand,51.77,78
Overall,IR-O-U-0262,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,51.73,79
Overall,IR-O-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,51.16,80
Overall,IR-O-U-0381,Punjab Agricultural University,Ludhiana,Punjab,51.03,81
Overall,IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,51.01,82
Overall,IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,50.94,83
Overall,IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,50.92,84
Overall,IR-O-U-0642,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,50.8,85
Overall,IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,50.14,86
